Name;Location;Audience;Audience_Qaulity;Price1;Post_kind1;Price2;Post_kind2;Price3;Post_kind3;Price4;Post_kind4
Анна;Москва, Россия;12 812;<span>24%</span>;6 042 ₽;Пост + Stories;3 021 ₽;Серия Stories (3-5);4 229 ₽;Пост в ленте;1 812 ₽;Stories
Анастасия;Москва, Россия;17 014;<span>11%</span>;7 808 ₽;Пост + Stories;3 904 ₽;Серия Stories (3-5);5 465 ₽;Пост в ленте;2 342 ₽;Stories
Яна;Москва, Россия;19 105;<span>25%</span>;8 648 ₽;Пост + Stories;4 324 ₽;Серия Stories (3-5);6 053 ₽;Пост в ленте;2 594 ₽;Stories
Анастасия;Москва, Россия;6 238;<span>32%</span>;3 558 ₽;Пост + Stories;1 779 ₽;Серия Stories (3-5);2 490 ₽;Пост в ленте;1 067 ₽;Stories
Алена;Москва, Россия;7 783;<span>35%</span>;4 149 ₽;Пост + Stories;2 074 ₽;Серия Stories (3-5);2 904 ₽;Пост в ленте;1 244 ₽;Stories
Лана;Санкт-Петербург, Россия;4 052;<span>17%</span>;2 431 ₽;Пост + Stories;1 215 ₽;Серия Stories (3-5);1 701 ₽;Пост в ленте;729 ₽;Stories
Елена;Москва, Россия;3 436;<span>22%</span>;2 061 ₽;Пост + Stories;1 030 ₽;Серия Stories (3-5);1 442 ₽;Пост в ленте;618 ₽;Stories
Евгения;Санкт-Петербург, Россия;5 294;<span>12%</span>;3 139 ₽;Пост + Stories;1 569 ₽;Серия Stories (3-5);2 197 ₽;Пост в ленте;941 ₽;Stories
Екатерина;Москва, Россия;4 536;<span>13%</span>;2 721 ₽;Пост + Stories;1 360 ₽;Серия Stories (3-5);1 904 ₽;Пост в ленте;816 ₽;Stories
Maria;Москва, Россия;13 498;<span>33%</span>;6 337 ₽;Пост + Stories;3 168 ₽;Серия Stories (3-5);4 435 ₽;Пост в ленте;1 901 ₽;Stories
Екатерина;Москва, Россия;62 770;<span>21%</span>;21 634 ₽;Пост + Stories;10 817 ₽;Серия Stories (3-5);15 143 ₽;Пост в ленте;6 490 ₽;Stories
Ольга;Санкт-Петербург, Россия;10 489;<span>41%</span>;5 019 ₽;Пост + Stories;2 509 ₽;Серия Stories (3-5);3 513 ₽;Пост в ленте;1 505 ₽;Stories
Alina;Москва, Россия;18 460;<span>21%</span>;8 392 ₽;Пост + Stories;4 196 ₽;Серия Stories (3-5);5 874 ₽;Пост в ленте;2 517 ₽;Stories
Лаура;Москва, Россия;7 525;<span>38%</span>;4 058 ₽;Пост + Stories;2 029 ₽;Серия Stories (3-5);2 840 ₽;Пост в ленте;1 217 ₽;Stories
Евгения;Москва, Россия;2 588;<span>36%</span>;1 552 ₽;Пост + Stories;776 ₽;Серия Stories (3-5);1 086 ₽;Пост в ленте;465 ₽;Stories
Юлия;Москва, Россия;5 823;<span>45%</span>;3 379 ₽;Пост + Stories;1 689 ₽;Серия Stories (3-5);2 365 ₽;Пост в ленте;1 013 ₽;Stories
Валерия;Москва, Россия;5 858;<span>31%</span>;3 393 ₽;Пост + Stories;1 696 ₽;Серия Stories (3-5);2 375 ₽;Пост в ленте;1 017 ₽;Stories
Анна;Санкт-Петербург, Россия;2 850;<span>18%</span>;1 710 ₽;Пост + Stories;855 ₽;Серия Stories (3-5);1 197 ₽;Пост в ленте;513 ₽;Stories
Анна;Москва, Россия;18 980;<span>44%</span>;8 599 ₽;Пост + Stories;4 299 ₽;Серия Stories (3-5);6 019 ₽;Пост в ленте;2 579 ₽;Stories
Юлия;Москва, Россия;211 939;<span>31%</span>;60 418 ₽;Пост + Stories;30 209 ₽;Серия Stories (3-5);42 292 ₽;Пост в ленте;18 125 ₽;Stories
Владислав;Санкт-Петербург, Россия;8 448;<span>18%</span>;4 369 ₽;Пост + Stories;2 184 ₽;Серия Stories (3-5);3 058 ₽;Пост в ленте;1 310 ₽;Stories
Наталья;Москва, Россия;19 164;<span>34%</span>;8 672 ₽;Пост + Stories;4 336 ₽;Серия Stories (3-5);6 070 ₽;Пост в ленте;2 601 ₽;Stories
Екатерина;Москва, Россия;14 502;<span>28%</span>;6 765 ₽;Пост + Stories;3 382 ₽;Серия Stories (3-5);4 735 ₽;Пост в ленте;2 029 ₽;Stories
Екатерина;Москва, Россия;6 337;<span>13%</span>;3 598 ₽;Пост + Stories;1 799 ₽;Серия Stories (3-5);2 518 ₽;Пост в ленте;1 079 ₽;Stories
Марина;Москва, Россия;3 366;<span>27%</span>;2 019 ₽;Пост + Stories;1 009 ₽;Серия Stories (3-5);1 413 ₽;Пост в ленте;605 ₽;Stories
Сабина;Москва, Россия;4 354;<span>13%</span>;2 612 ₽;Пост + Stories;1 306 ₽;Серия Stories (3-5);1 828 ₽;Пост в ленте;783 ₽;Stories
Вера;Москва, Россия;6 622;<span>40%</span>;3 715 ₽;Пост + Stories;1 857 ₽;Серия Stories (3-5);2 600 ₽;Пост в ленте;1 114 ₽;Stories
Анна;Москва, Россия;8 517;<span>24%</span>;4 390 ₽;Пост + Stories;2 195 ₽;Серия Stories (3-5);3 073 ₽;Пост в ленте;1 317 ₽;Stories
Наталья;Москва, Россия;8 775;<span>24%</span>;4 470 ₽;Пост + Stories;2 235 ₽;Серия Stories (3-5);3 129 ₽;Пост в ленте;1 341 ₽;Stories
Ирина;Москва, Россия;5 219;<span>43%</span>;3 104 ₽;Пост + Stories;1 552 ₽;Серия Stories (3-5);2 172 ₽;Пост в ленте;931 ₽;Stories
Татьяна;Москва, Россия;5 158;<span>24%</span>;3 075 ₽;Пост + Stories;1 537 ₽;Серия Stories (3-5);2 152 ₽;Пост в ленте;922 ₽;Stories
Marina;Москва, Россия;19 163;<span>34%</span>;8 671 ₽;Пост + Stories;4 335 ₽;Серия Stories (3-5);6 069 ₽;Пост в ленте;2 601 ₽;Stories
Юлия;Москва, Россия;5 412;<span>37%</span>;3 193 ₽;Пост + Stories;1 596 ₽;Серия Stories (3-5);2 235 ₽;Пост в ленте;957 ₽;Stories
Кристина;Москва, Россия;8 831;<span>33%</span>;4 486 ₽;Пост + Stories;2 243 ₽;Серия Stories (3-5);3 140 ₽;Пост в ленте;1 345 ₽;Stories
Татьяна;Москва, Россия;15 530;<span>39%</span>;7 196 ₽;Пост + Stories;3 598 ₽;Серия Stories (3-5);5 037 ₽;Пост в ленте;2 158 ₽;Stories
Галина;Санкт-Петербург, Россия;2 303;<span>17%</span>;1 382 ₽;Пост + Stories;691 ₽;Серия Stories (3-5);967 ₽;Пост в ленте;414 ₽;Stories
Полина;Санкт-Петербург, Россия;1 423;<span>32%</span>;854 ₽;Пост + Stories;427 ₽;Серия Stories (3-5);597 ₽;Пост в ленте;256 ₽;Stories
Алена;Москва, Россия;8 338;<span>29%</span>;4 334 ₽;Пост + Stories;2 167 ₽;Серия Stories (3-5);3 033 ₽;Пост в ленте;1 300 ₽;Stories
